"","No","Q_Y","Q","M_Y","Period","diff_gap","diff_oil","diff_exchange","diff_VNI","diff_CPI","diff._goldreserve","diff_interest","log_M2","diff_demandVN"
"1",1,"Q1-2010","Q1","1-2010",40182,-264068.653916331,2.13,0,22.28,0.0142,-2.327,0,0.056162337601535,-4.56
"2",2,"Q1-2010","Q1","1-2010",40183,234414.968814971,0.219999999999999,0,15.48,0.0142,-2.327,0,0.056162337601535,-4.56
"3",3,"Q1-2010","Q1","1-2010",40184,-248533.88773389,1.38000000000001,0,1.93000000000006,0.0142,-2.327,0,0.056162337601535,-4.56
"4",4,"Q1-2010","Q1","1-2010",40185,114812.096012099,-0.52000000000001,5,-1.12,0.0142,-2.327,0,0.056162337601535,-4.56
"5",5,"Q1-2010","Q1","1-2010",40186,-206926.025326027,0.140000000000001,-5,-12.4400000000001,0.0142,-2.327,0,0.056162337601535,-4.56
"6",6,"Q1-2010","Q1","1-2010",40189,185467.775467776,-0.199999999999989,0,-5.84000000000003,0.0142,-2.327,0,0.056162337601535,-4.56
"7",7,"Q1-2010","Q1","1-2010",40190,294384.199584197,-1.75,0,-16.7499999999999,0.0142,-2.327,0,0.056162337601535,-4.56
"8",8,"Q1-2010","Q1","1-2010",40191,-354719.334719334,-1.13000000000001,0,10.3,0.0142,-2.327,0,0.056162337601535,-4.56
"9",9,"Q1-2010","Q1","1-2010",40192,23432.0166320186,-0.310000000000002,0,3.72000000000003,0.0142,-2.327,0,0.056162337601535,-4.56
"10",10,"Q1-2010","Q1","1-2010",40193,92221.4326214325,-1.39,-9,-6.91000000000003,0.0142,-2.327,0,0.056162337601535,-4.56
"11",11,"Q1-2010","Q1","1-2010",40196,-205539.066339066,2.84571428571429,9,-18.29,0.0142,-2.327,0,0.056162337601535,-4.56
"12",12,"Q1-2010","Q1","1-2010",40197,-16190.8901908919,-1.82571428571428,0,8.38,0.0142,-2.327,0,0.056162337601535,-4.56
"13",13,"Q1-2010","Q1","1-2010",40198,348370.13797014,-1.56,5,-6.00999999999999,0.0142,-2.327,0,0.056162337601535,-4.56
"14",14,"Q1-2010","Q1","1-2010",40199,-81754.7533547562,-1.58,-5,-11.08,0.0142,-2.327,0,0.056162337601535,-4.56
"15",15,"Q1-2010","Q1","1-2010",40200,-31505.1975051966,-1.59,0,-0.830000000000041,0.0142,-2.327,0,0.056162337601535,-4.56
"16",16,"Q1-2010","Q1","1-2010",40203,26224.5322245322,0.650000000000006,0,3.32000000000005,0.0142,-2.327,0,0.056162337601535,-4.56
"17",17,"Q1-2010","Q1","1-2010",40204,-57698.9604989607,-0.230000000000004,0,16.99,0.0142,-2.327,0,0.056162337601535,-4.56
"18",18,"Q1-2010","Q1","1-2010",40205,208494.802494802,-1.03,0,-11.49,0.0142,-2.327,0,0.056162337601535,-4.56
"19",19,"Q1-2010","Q1","1-2010",40206,-31457.115857115,-0.019999999999996,-9,-4.65000000000003,0.0142,-2.327,0,0.056162337601535,-4.56
"20",20,"Q1-2010","Q1","1-2010",40207,-48995.2749952748,-0.77000000000001,9,0.199999999999989,0.0142,-2.327,0,0.056162337601535,-4.56
"21",21,"Q1-2010","Q1","2-2010",40210,-337402.910602909,1.56,0,4.99000000000001,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"22",22,"Q1-2010","Q1","2-2010",40211,-63754.5265545286,2.8,1,0.980000000000018,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"23",23,"Q1-2010","Q1","2-2010",40212,54620.223020222,-0.25,-1,7.55000000000001,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"24",24,"Q1-2010","Q1","2-2010",40213,664166.320166321,-3.83,0,8.34999999999997,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"25",25,"Q1-2010","Q1","2-2010",40214,-307581.704781706,-1.97999999999999,0,-10.79,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"26",26,"Q1-2010","Q1","2-2010",40217,-928494.802494802,0.719999999999999,0,-1.84000000000003,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"27",27,"Q1-2010","Q1","2-2010",40218,-233588.357588358,1.83999999999999,0,-8.31,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"28",28,"Q1-2010","Q1","2-2010",40219,542566.320166321,0.77000000000001,0,8.02000000000004,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"29",29,"Q1-2010","Q1","2-2010",40220,197919.259119259,0.75,381,9.02999999999997,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"30",30,"Q1-2010","Q1","2-2010",40221,260527.31052731,-1.12,-150,7.06,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"31",31,"Q1-2010","Q1","2-2010",40225,-1024146.12414612,2.87,0,-11.4557142857143,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"32",32,"Q1-2010","Q1","2-2010",40226,52287.2494301051,0.289999999999992,-150,-1.18367346938777,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"33",33,"Q1-2010","Q1","2-2010",40227,3222.30995700508,1.7,0,0.188658892128274,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"34",34,"Q1-2010","Q1","2-2010",40228,-3307.66703944467,0.799999999999997,50,0.478467305289428,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"35",35,"Q1-2010","Q1","2-2010",40231,853318.263172489,0.27000000000001,150,14.9922615576843,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"36",36,"Q1-2010","Q1","2-2010",40232,60369.6843696851,-1.43000000000001,-120,-13.73,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"37",37,"Q1-2010","Q1","2-2010",40233,-72151.9561519567,1.14,120,-1.70000000000005,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"38",38,"Q1-2010","Q1","2-2010",40234,-146427.896427896,-1.76000000000001,-100,0.400000000000034,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"39",39,"Q1-2010","Q1","2-2010",40235,-34859.1948591955,1.73,150,1.92000000000002,0.0207,6.81900000000002,0,-0.0143574799977464,-4.56
"40",40,"Q1-2010","Q1","3-2010",40238,66117.9361179359,-1.01000000000001,-200,6.09999999999997,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"41",41,"Q1-2010","Q1","3-2010",40239,-268576.828576829,0.910000000000011,0,-2.00999999999999,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"42",42,"Q1-2010","Q1","3-2010",40240,-59306.7473067474,1.28999999999999,90,6.31999999999999,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"43",43,"Q1-2010","Q1","3-2010",40241,171271.971271971,-0.700000000000003,-10,4.59000000000003,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"44",44,"Q1-2010","Q1","3-2010",40242,8931.39293139428,1.29000000000001,0,1.47999999999996,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
"45",45,"Q1-2010","Q1","3-2010",40245,188167.454167454,0.349999999999994,0,7.73000000000002,0.00800000000000001,0.47199999999998,0,0.0173754747720921,-4.56
